dur_qualtrics_sec,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q9_3_TEXT,Q9_5_TEXT,rep_avail,Q10,Q11,Q12,Q13,Q14,Q15
297,Reviewer6,Environmental Modeling and Software,10.1016/j.envsoft.2017.11.024,"Troncoso, A.; Ribera, P.; Asencio-CortÃ©s, G.; Vega, I.; Gallego, D. (2017) Imbalanced classification techniques for monsoon forecasting based on a new climatic time series. Environmental Modelling and Software. NA, .","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data, No link to work data / model.  Used the Synthetic Minority Over-Sampling Technique (SMOTE),,,,,,,,,,
515,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2016.08.029,"Ramandi, H.L.; Mostaghimi, P.; Armstrong, R.T. (2017) Digital rock analysis for accurate prediction of fractured media permeability. Journal of Hydrology. 554, 817-826.",Not applicable - dataless paper/review paper,,,,,,,,,,3,,,
237,Reviewer6,Journal of Hydrology,10.1016/j.jhydrol.2016.11.023,"Diodato, N.; Borrelli, P.; Fiener, P.; Bellocchi, G.; Romano, N. (2017) Discovering historical rainfall erosivity with a parsimonious approach: A case study in Western Germany. Journal of Hydrology. 544, 1-9.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Materials linked by unique and persistent identifiers,Gave links to where public databases.  Links to supportin R packages and excel.  No real instructions on how to run / no specific dataset used provided.,,,,,,,4,,,
3471,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2016.11.025,"Wang, Z.; Xie, P.; Lai, C.; Chen, X.; Wu, X.; Zeng, Z.; Li, J.; StojkoviÄ‡, M.; KostiÄ‡, S.; PlavÅ¡iÄ‡, J.; Prohaska, S. (2017) A joint stochastic-deterministic approach for long-term and short-term modelling of monthly flow rates. Journal of Hydrology. 544, 555-566.",Not specified where they got the data/where data is,,,,,,,,,,0,,,
222,Reviewer6,Journal of Hydrology,10.1016/j.jhydrol.2016.11.033,"Nourani, V. (2017) An Emotional ANN (EANN) approach to modeling rainfall-runoff process. Journal of Hydrology. 544, 267-277.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,,,,,,,,3,,,
3372,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2016.11.037,"Hailegeorgis, T.T.; Alfredsen, K. (2017) Analyses of extreme precipitation and runoff events including uncertainties and reliability in design and management of urban water infrastructure. Journal of Hydrology. 544, 290-305.",Not specified where they got the data/where data is,,,,,,,,,,0,,,
336,Reviewer4,Journal of Hydrology,10.1016/j.jhydrol.2016.11.040,"Zhang, J.; Li, Y.; Zhao, Y.; Hong, Y. (2017) Wavelet-cointegration prediction of irrigation water in the irrigation district. Journal of Hydrology. 544, 343-351.",Not specified where they got the data/where data is,,,,,,,,,,10,,,
381,Reviewer1,Journal of Hydrology,10.1016/j.jhydrol.2016.11.055,"Lewis, C.S.; Allen, L.N. (2017) Potential crop evapotranspiration and surface evaporation estimates via a gridded weather forcing dataset. Journal of Hydrology. 546, 450-463.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Input data",Input dataset is referenced for the source of the entire US though the study was only for Utah. Source code is on Github but no directions available,,,,,,,10,,,
337,Reviewer1,Journal of Hydrology,10.1016/j.jhydrol.2016.11.057,"Ashrafi, M.; Chua, L.H.C.; Quek, C.; Qin, X. (2017) A fully-online Neuro-Fuzzy model for flow forecasting in basins with limited data. Journal of Hydrology. 545, 424-435.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,The model is referenced in another article but I cannot find a link to download it there. ,,,,,,,10,,,
56,Reviewer2,Journal of Hydrology,10.1016/j.jhydrol.2016.11.063,"Wu, M.; Cheng, Z.; Wu, J.; Wu, J. (2017) Quantifying representative elementary volume of connectivity for translucent granular materials by light transmission micro-tomography. Journal of Hydrology. 545, 12-27.",Not specified where they got the data/where data is,,,None of the raw experimental data or scripts that process that data to present figures are present.,,,,,,,8,,,
1173,Reviewer3,Journal of Hydrology,10.1016/j.jhydrol.2016.12.004,"Zhao, Z.; Illman, W.A. (2017) On the importance of geological data for three-dimensional steady-state hydraulic tomography analysis at a highly heterogeneous aquifer-aquitard system. Journal of Hydrology. 544, 640-657.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,It is an experimental study and needs the experimental setup to conduct study.,,,,,,,10,,,
1585,Reviewer3,Journal of Hydrology,10.1016/j.jhydrol.2016.12.018,"Luo, J.; Zheng, Z.; Li, T.; He, S. (2017) Spatial heterogeneity of microtopography and its influence on the flow convergence of slopes under different rainfall patterns. Journal of Hydrology. 545, 88-99.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Input data","Data for a part of study are obtained through experiments , hence the results cannot be reproduced.",,,,,,,15,,,The software used for some analyses are mentioned with no directions to use the tools 
4007,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2016.12.022,"Libera, A.; de Barros, F.P.J.; Guadagnini, A. (2017) Influence of pumping operational schedule on solute concentrations at a well in randomly heterogeneous aquifers. Journal of Hydrology. 546, 490-502.",Not specified where they got the data/where data is,,,,,,,,,,0,,,
831,Reviewer3,Journal of Hydrology,10.1016/j.jhydrol.2016.12.024,"Chang, T.K.; Talei, A.; Alaghmand, S.; Ooi, M.P.-L. (2017) Choice of rainfall inputs for event-based rainfall-runoff modeling in a catchment with multiple rainfall stations using data-driven techniques. Journal of Hydrology. 545, 100-108.",Not specified where they got the data/where data is,,,,,,,,,,15,,,
529,Reviewer1,Journal of Hydrology,10.1016/j.jhydrol.2016.12.050,"Wu, J.; Miao, C.; Wang, Y.; Duan, Q.; Zhang, X. (2017) Contribution analysis of the long-term changes in seasonal runoff on the Loess Plateau, China, using eight Budyko-based methods. Journal of Hydrology. 545, 263-275.","Some or all applicable (available, third party request, author request)","Data available  only in article figures/tables/text,Third Party Request",,Input data is referenced from the source agencies ,,,,,,,10,,,
5302,Reviewer3,Journal of Hydrology,10.1016/j.jhydrol.2016.12.054,"Dusek, J.; Vogel, T.; Dohnal, M.; Barth, J.A.C.; Sanda, M.; Marx, A.; Jankovec, J. (2017) Dynamics of dissolved organic carbon in hillslope discharge: Modeling and challenges. Journal of Hydrology. 546, 309-325.",Not specified where they got the data/where data is,,,,,,,,,,20,,,
282,Reviewer4,Journal of Hydrology,10.1016/j.jhydrol.2017.01.004,"Zhang, Y.; Schaap, M.G. (2017) Weighted recalibration of the Rosetta pedotransfer model with improved estimates of hydraulic parameter distributions and summary statistics (Rosetta3). Journal of Hydrology. 547, 39-53.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Code/Model/Software,"Article states Rosetta1 and 3 are available open sources, but the link is broken.",,,,,,,10,,,
104,Reviewer1,Journal of Hydrology,10.1016/j.jhydrol.2017.01.007,"Alizadeh, M.J. (2017) Discussion on ""Gene expression models for prediction of longitudinal dispersion coefficient in streams"" by Sattar, A.M.A., Gharabaghi, B., 2015. Journal of Hydrology 524, 587-596. Journal of Hydrology. NA, .","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,Review summary provided in tables ,,,,,,,2,,,
3918,Reviewer5,Journal of Hydrology,10.1016/j.jhydrol.2017.01.008,"Massei, N.; Dieppois, B.; Hannah, D.M.; Lavers, D.A.; Fossa, M.; Laignel, B.; Debret, M. (2017) Multi-time-scale hydroclimate dynamics of a regional watershed and links to large-scale atmospheric circulation: Application to the Seine river catchment, France. Journal of Hydrology. 546, 262-275.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,0,,,
230,Reviewer6,Journal of Hydrology,10.1016/j.jhydrol.2017.01.011,"Jia, X.; Shao, M.; Zhu, Y.; Luo, Y. (2017) Soil moisture decline due to afforestation across the Loess Plateau, China. Journal of Hydrology. 546, 113-122.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,No Model.  Field measurements and evaluations of soit water in a afforestation area.,,,,,,,4,,,
